No,Platform,ClearTime
1,PS1,2226
2,PS1,1392
3,PS1,2314
4,PS1,2112
5,PS1,1024
6,PS1,2403
7,PS1,2124
8,PS1,770
9,PS1,1956
10,PS1,364
11,PS1,528
12,PS1,1128
13,PS1,1757
14,PS1,3373
15,PS1,1329
16,PS1,957
17,PS1,523
18,PS1,429
19,PS1,279
20,PS1,951
21,PS1,481
22,PS1,697
23,PS1,988
24,PS1,685
25,PS1,2244
26,PS1,656
27,PS1,1474
28,PS1,70
29,PS1,380
30,PS1,2512
31,PS1,2157
32,PS1,903
33,PS1,450
34,PS1,765
35,PS1,528
36,PS1,1262
37,PS1,350
38,PS1,346
39,PS1,2536
40,PS1,79
41,PS1,590
42,PS1,4797
43,PS1,67
44,PS1,502
45,PS1,1400
46,PS1,2391
47,PS1,701
48,PS1,1632
49,PS1,231
50,PS2,947
51,PS2,731
52,PS2,719
53,PS2,1872
54,PS2,2020
55,PS2,1092
56,PS2,882
57,PS2,914
58,PS2,574
59,PS2,816
60,PS2,1368
61,PS2,2796
62,PS2,466
63,PS2,494
64,PS2,599
65,PS2,696
66,PS2,2918
67,PS2,448
68,PS2,524
69,PS2,757
70,PS2,2855
71,PS2,548
72,PS2,4813
73,PS2,380
74,PS2,439
75,PS2,710
76,PS2,519
77,PS2,386
78,PS2,827
79,PS2,438
80,PS2,494
81,PS2,496
82,PS2,120
83,PS2,583
84,PS2,90
85,PS2,3373
86,PS2,725
87,PS2,589
88,PS2,277
89,PS2,771
90,PS2,817
91,PS2,160
92,PS2,779
93,PS2,639
94,PS2,361
95,PS2,3696
96,PS2,582
97,PS2,478
98,PS2,708
99,PS2,57
100,PS3,6667
101,PS3,1558
102,PS3,1939
103,PS3,729
104,PS3,1908
105,PS3,531
106,PS3,3076
107,PS3,1827
108,PS3,696
109,PS3,5331
110,PS3,195
111,PS3,707
112,PS3,1649
113,PS3,1619
114,PS3,2775
115,PS3,675
116,PS3,787
117,PS3,2077
118,PS3,974
119,PS3,2236
120,PS3,947
121,PS3,649
122,PS3,697
123,PS3,2208
124,PS3,837
125,PS3,734
126,PS3,770
127,PS3,328
128,PS3,431
129,PS3,697
130,PS3,1121
131,PS3,965
132,PS3,1094
133,PS3,1335
134,PS3,676
135,PS3,431
136,PS3,1078
137,PS3,1415
138,PS3,1158
139,PS3,1872
140,PS3,1708
141,PS3,690
142,PS3,372
143,PS3,1030
144,PS3,1320
145,PS3,936
146,PS3,377
147,PS3,1367
148,PS3,663
149,PS4,3123
150,PS4,292
151,PS4,2983
152,PS4,1670
153,PS4,6667
154,PS4,3152
155,PS4,1424
156,PS4,1375
157,PS4,3141
158,PS4,1273
159,PS4,1558
160,PS4,1119
161,PS4,1939
162,PS4,1784
163,PS4,1987
164,PS4,1031
165,PS4,729
166,PS4,1062
167,PS4,165
168,PS4,644
169,PS4,1908
170,PS4,3076
171,PS4,1686
172,PS4,1483
173,PS4,714
174,PS4,1391
175,PS4,696
176,PS4,3453
177,PS4,510
178,PS4,2854
179,PS4,1851
180,PS4,3631
181,PS4,1675
182,PS4,5331
183,PS4,3788
184,PS4,3455
185,PS4,4130
186,PS4,307
187,PS4,3189
188,PS4,1379
189,PS4,1793
190,PS4,732
191,PS4,2699
192,PS4,1964
193,PS4,732
194,PS4,1678
195,PS4,532
196,PS5,3123
197,PS5,292
198,PS5,6667
199,PS5,1424
200,PS5,1375
201,PS5,1558
202,PS5,1119
203,PS5,1939
204,PS5,1987
205,PS5,1031
206,PS5,1062
207,PS5,1686
208,PS5,1483
209,PS5,1391
210,PS5,3631
211,PS5,3788
212,PS5,3189
213,PS5,1379
214,PS5,732
215,PS5,532
216,PS5,864
217,PS5,2716
218,PS5,701
219,PS5,2446
220,PS5,4861
221,PS5,6356
222,PS5,1353
223,PS5,180
224,PS5,649
225,PS5,960
226,PS5,764
227,PS5,1416
228,PS5,1777
229,PS5,926
230,PS5,2252
231,PS5,688
232,PS5,1500
233,PS5,1272
234,PS5,3504
235,PS5,537
236,PS5,364
237,PS5,585
238,PS5,565
239,PS5,449
240,PS5,607
241,PS5,550
242,PS5,570
